ln_wealth,log_hazard
17.031502,-2.4941332
17.032272,-2.4946604
17.033154,-2.4951878
17.033186,-2.4957154
17.033285,-2.496244
17.035194,-2.4967723
17.035685,-2.4973009
17.038649,-2.4978297
17.04491,-2.4983594
17.046078,-2.4988887
17.046118,-2.4994183
17.046156,-2.4999483
17.046156,-2.5004792
17.046156,-2.5010097
17.046196,-2.5015404
17.048403,-2.5020714
17.048527,-2.5026028
17.049152,-2.5031352
17.049314,-2.5036669
17.049355,-2.504199
17.04937,-2.5047317
17.04941,-2.505265
17.04957,-2.5057981
17.051487,-2.5063314
17.053036,-2.506865
17.054111,-2.5073996
17.055922,-2.5079336
17.056149,-2.5084682
17.056383,-2.5090029
17.057829,-2.5095387
17.057869,-2.5100739
17.057869,-2.5106096
17.057869,-2.5111454
17.057869,-2.5116823
17.058727,-2.5122187
17.062119,-2.5127554
17.064178,-2.5132926
17.066544,-2.5138297
17.067705,-2.5143681
17.067743,-2.5149062
17.067743,-2.5154443
17.067743,-2.5159826
17.067743,-2.5165222
17.068823,-2.5170612
17.069155,-2.5176005
17.070108,-2.5181403
17.077389,-2.5186808
17.07959,-2.5192211
17.07967,-2.5197616
17.080851,-2.5203025
17.082644,-2.5208442
17.082727,-2.5213857
17.082998,-2.5219274
17.083025,-2.5224693
17.083824,-2.5230124
17.083862,-2.5235548
17.087965,-2.5240977
17.093832,-2.5246408
17.093945,-2.5251844
17.094021,-2.5257289
17.094511,-2.526273
17.095301,-2.5268173
17.095655,-2.5273619
17.095745,-2.5279076
17.096609,-2.5284529
17.100025,-2.5289984
17.102119,-2.5295441
17.106089,-2.530091
17.107094,-2.5306375
17.10754,-2.5311842
17.107763,-2.5317311
17.108952,-2.5322793
17.118795,-2.5328269
17.119022,-2.5333748
17.120253,-2.5339229
17.120829,-2.5344722
17.120987,-2.5350211
17.12137,-2.5355701
17.124332,-2.5361197
17.126116,-2.5366693
17.126492,-2.53722
17.12682,-2.5377705
17.126856,-2.538321
17.126856,-2.538872
17.12686,-2.5394239
17.126892,-2.5399756
17.129042,-2.5405273
17.133036,-2.5410795
17.135487,-2.5416327
17.136784,-2.5421855
17.138819,-2.5427387
17.142466,-2.543292
